,Entity,EntityName,EntityType,EntityLabel,EntityLabel (Short),EntityLabel (Extended),use_in_alignment
4945,obo.DOID_1407,DOID_1407,class,AnteriorUveitis,anterior uveitis,anterior uveitis,True
4946,obo.DOID_14070,DOID_14070,class,VestibularNystagmus,vestibular nystagmus,nystagmus vestibular,True
4947,obo.DOID_14075,DOID_14075,class,GeniculateGanglionitis,geniculate ganglionitis,ganglionitis geniculate,True
4948,obo.DOID_14080,DOID_14080,class,Glucocorticoid-remediableAldosteronism,glucocorticoid-remediable aldosteronism,aldosteronism glucocorticoid-remediable,True
4949,obo.DOID_14081,DOID_14081,class,ToxicLabyrinthitis,toxic labyrinthitis,labyrinthitis toxic,True
4950,obo.DOID_14087,DOID_14087,class,Epicondylitis,epicondylitis,andrel archer elbow epicondylitis golfer hockey medial,True
4951,obo.DOID_14089,DOID_14089,class,RootCaries,root caries,caries root,True
4952,obo.DOID_14092,DOID_14092,class,RenalArteryAtheroma,renal artery atheroma,artery atheroma renal,True
4953,obo.DOID_2388,DOID_2388,class,RenalArteryDisease,renal artery disease,artery disease renal vascular,True
4954,obo.DOID_14095,DOID_14095,class,BoutonneuseFever,boutonneuse fever,african boutonneuse conorii fever kenya marseille rickettsia spot tick typhus,True
4955,obo.DOID_14096,DOID_14096,class,InfertilityDueToExtratesticularCause,infertility due to extratesticular cause,cause due extratesticular infertility,True
4956,obo.DOID_14099,DOID_14099,class,AcquiredGastricOutletStenosis,acquired gastric outlet stenosis,acquire gastric outlet stenosis,True
4957,obo.DOID_14107,DOID_14107,class,DeQuervainDisease,de quervain disease,de disease quervain,True
4958,obo.DOID_14110,DOID_14110,class,AnusCancer,anus cancer,anal anus cancer,True
4959,obo.DOID_14111,DOID_14111,class,MedianRhomboidGlossitis,median rhomboid glossitis,glossitis median rhomboid,True
4960,obo.DOID_1456,DOID_1456,class,Glossitis,glossitis,glossitis,True
4961,obo.DOID_14115,DOID_14115,class,ToxicShockSyndrome,toxic shock syndrome,shock syndrome toxic,True
4962,obo.DOID_14116,DOID_14116,class,MultipleSymmetricLipomatosis,multiple symmetric lipomatosis,benign cephalothoracic cervical familial lipodystrophy lipomatosis madelung multiple neck symmetric,True
4963,obo.DOID_3153,DOID_3153,class,Lipomatosis,lipomatosis,lipomatosis,True
4964,obo.DOID_14118,DOID_14118,class,FamilialLipoproteinLipaseDeficiency,familial lipoprotein lipase deficiency,deficiency familial lipase lipoprotein,True
4965,obo.DOID_1412,DOID_1412,class,Bacteriuria,bacteriuria,bacteriuria,True
4966,obo.DOID_14121,DOID_14121,class,BlueToeSyndrome,blue toe syndrome,blue syndrome toe,True
4967,obo.DOID_1461,DOID_1461,class,CholesterolEmbolism,cholesterol embolism,atheroembolism blue cholesterol crystal embolism foot purple syndrome toe trash warfarin,True
4968,obo.DOID_14125,DOID_14125,class,AbducensNerveNeoplasm,abducens nerve neoplasm,abducens neoplasm nerve,True
4969,obo.DOID_14130,DOID_14130,class,LateralCystocele,lateral cystocele,cystocele lateral,True
4970,obo.DOID_14131,DOID_14131,class,MidlineCystocele,midline cystocele,cystocele midline,True
4971,obo.DOID_14133,DOID_14133,class,Masters-allenSyndrome,masters-allen syndrome,masters-allen syndrome,True
4972,obo.DOID_14139,DOID_14139,class,AnusLymphoma,anus lymphoma,anus lymphoma,True
4973,obo.DOID_14140,DOID_14140,class,PulpErosion,pulp erosion,erosion pulp,True
4974,obo.DOID_14145,DOID_14145,class,MalignantAnusMelanoma,malignant anus melanoma,anus malignant melanoma,True
4975,obo.DOID_14146,DOID_14146,class,Ureterolithiasis,ureterolithiasis,ureterolithiasis,True
4976,obo.DOID_1426,DOID_1426,class,UreteralDisease,ureteral disease,disease ureteral,True
4977,obo.DOID_1415,DOID_1415,class,GyrateAtrophy,gyrate atrophy,atrophy gyrate,True
4978,obo.DOID_14150,DOID_14150,class,SpinalCordLymphoma,spinal cord lymphoma,cord lymphoma spinal,True
4979,obo.DOID_3234,DOID_3234,class,CentralNervousSystemLymphoma,central nervous system lymphoma,central cns lymphoma nervous primary system,True
4980,obo.DOID_14151,DOID_14151,class,SpinalCordMelanoma,spinal cord melanoma,cord melanoma spinal,True
4981,obo.DOID_14152,DOID_14152,class,SpinalCordSarcoma,spinal cord sarcoma,cord sarcoma spinal,True
4982,obo.DOID_2133,DOID_2133,class,CentralNervousSystemSarcoma,central nervous system sarcoma,central nervous sarcoma system,True
4983,obo.DOID_14155,DOID_14155,class,AcuteRetrobulbarNeuritis,acute retrobulbar neuritis,acute neuritis retrobulbar,True
4984,obo.DOID_14159,DOID_14159,class,ObstructiveHydrocephalus,obstructive hydrocephalus,hydrocephalus obstructive,True
4985,obo.DOID_14165,DOID_14165,class,BilateralHyperactiveLabyrinth,bilateral hyperactive labyrinth,bilateral hyperactive labyrinth,True
4986,obo.DOID_566,DOID_566,class,LabyrinthineDysfunction,labyrinthine dysfunction,dysfunction labyrinthine,True
4987,obo.DOID_14172,DOID_14172,class,RheumaticCongestiveHeartFailure,rheumatic congestive heart failure,congestive failure heart rheumatic,True
4988,obo.DOID_14174,DOID_14174,class,CentralNeurocytoma,central neurocytoma,central neurocytoma,True
4989,obo.DOID_3541,DOID_3541,class,CerebralVentricleCancer,cerebral ventricle cancer,cancer cerebral ventricle,True
4990,obo.DOID_14175,DOID_14175,class,VonHippel-lindauDisease,von hippel-lindau disease,disease hippel-lindau von,True
4991,obo.DOID_5241,DOID_5241,class,Hemangioblastoma,hemangioblastoma,hemangioblastoma,True
4992,obo.DOID_14176,DOID_14176,class,SelectiveIggDeficiencyDisease,selective igg deficiency disease,deficiency disease igg selective,True
4993,obo.DOID_14177,DOID_14177,class,CongenitalHypogammaglobulinemia,congenital hypogammaglobulinemia,congenital hypogammaglobulinemia,True
4994,obo.DOID_14179,DOID_14179,class,Bruton-typeAgammaglobulinemia,bruton-type agammaglobulinemia,agammaglobulinemia bruton bruton-type btk deficiency kinase tyrosine,True
4995,obo.DOID_14181,DOID_14181,class,CalcificTendinitis,calcific tendinitis,calcific tendinitis,True
4996,obo.DOID_14183,DOID_14183,class,AlcoholicNeuropathy,alcoholic neuropathy,alcoholic neuropathy,True
4997,obo.DOID_2537,DOID_2537,class,InflammatorytoxicNeuropathy,inflammatorytoxic neuropathy,inflammatory neuropathy toxic,True
4998,obo.DOID_14184,DOID_14184,class,PolyneuropathyDueToDrug,polyneuropathy due to drug,drug due polyneuropathy,True
4999,obo.DOID_14188,DOID_14188,class,FrozenShoulder,frozen shoulder,frozen shoulder,True
5000,obo.DOID_14192,DOID_14192,class,BicipitalTenosynovitis,bicipital tenosynovitis,bicipital tenosynovitis,True
5001,obo.DOID_970,DOID_970,class,Tenosynovitis,tenosynovitis,tenosynovitis,True
5002,obo.DOID_14199,DOID_14199,class,PosteriorDislocationOfLens,posterior dislocation of lens,dislocation lens posterior,True
5003,obo.DOID_14202,DOID_14202,class,AdultDermatomyositis,adult dermatomyositis,adult dermatomyositis,True
5004,obo.DOID_14203,DOID_14203,class,ChildhoodTypeDermatomyositis,childhood type dermatomyositis,childhood dermatomyositis type,True
5005,obo.DOID_14218,DOID_14218,class,DihydropyrimidineDehydrogenaseDeficiency,dihydropyrimidine dehydrogenase deficiency,deficiency dehydrogenase dihydropyrimidine thymine-uracilurea,True
5006,obo.DOID_14219,DOID_14219,class,RenalTubularAcidosis,renal tubular acidosis,acidosis renal tubular,True
5007,obo.DOID_14221,DOID_14221,class,MetabolicSyndromeX,metabolic syndrome x,abdominal metabolic obesity-metabolic syndrome,True
5008,obo.DOID_14223,DOID_14223,class,Ochronosis,ochronosis,ochronosis,True
5009,obo.DOID_14224,DOID_14224,class,TrachealCalcification,tracheal calcification,calcification tracheal,True
5010,obo.DOID_14225,DOID_14225,class,AcuteFrontalSinusitis,acute frontal sinusitis,acute frontal sinusitis,True
5011,obo.DOID_14227,DOID_14227,class,Azoospermia,azoospermia,azoospermia failure spermatogenic,True
5012,obo.DOID_14228,DOID_14228,class,Oligospermia,oligospermia,oligospermia,True
5013,obo.DOID_14230,DOID_14230,class,ScleromalaciaPerforans,scleromalacia perforans,perforans scleromalacia,True
5014,obo.DOID_14233,DOID_14233,class,OrbitalCyst,orbital cyst,cyst orbital,True
5015,obo.DOID_14239,DOID_14239,class,GastrointestinalTularemia,gastrointestinal tularemia,gastrointestinal tularemia,True
5016,obo.DOID_14243,DOID_14243,class,ChronicPerichondritisOfPinna,chronic perichondritis of pinna,chronic perichondritis pinna,True
5017,obo.DOID_222,DOID_222,class,PerichondritisOfAuricle,perichondritis of auricle,auricle perichondritis,True
5018,obo.DOID_14244,DOID_14244,class,EpiphoraDueToExcessLacrimation,epiphora due to excess lacrimation,due epiphora excess lacrimation,True
5019,obo.DOID_14245,DOID_14245,class,CystoidMacularRetinalDegeneration,cystoid macular retinal degeneration,cystoid degeneration macular retinal,True
5020,obo.DOID_14247,DOID_14247,class,ChronicPurulentOtitisMedia,chronic purulent otitis media,chronic medium otitis purulent,True
5021,obo.DOID_14248,DOID_14248,class,ChronicAtticoantralDisease,chronic atticoantral disease,atticoantral chronic disease,True
5022,obo.DOID_1425,DOID_1425,class,Pyoureter,pyoureter,pyoureter,True
5023,obo.DOID_14250,DOID_14250,class,DownSyndrome,down syndrome,syndrome,True
5024,obo.DOID_14251,DOID_14251,class,VitreoretinalDystrophy,vitreoretinal dystrophy,dystrophy vitreoretinal,True
5025,obo.DOID_14252,DOID_14252,class,DystrophiesPrimarilyInvolvingTheRetinalPigmentEpithelium,dystrophies primarily involving the retinal pigment epithelium,dystrophy epithelium involve pigment primarily retinal,True
5026,obo.DOID_14253,DOID_14253,class,RetinalDystrophyInSystemicCerebroretinalLipidoses,retinal dystrophy in systemic cerebroretinal lipidoses,cerebroretinal dystrophy lipidoses retinal systemic,True
5027,obo.DOID_14256,DOID_14256,class,"""adult-onsetStillsDisease""","""adult-onset stills disease""",adult-onset disease still,True
5028,obo.DOID_14261,DOID_14261,class,FragileXSyndrome,fragile x syndrome,fragile marker martin-bell mental retardation syndrome,True
5029,obo.DOID_14262,DOID_14262,class,OralCandidiasis,oral candidiasis,candidiasis oral,True
5030,obo.DOID_14264,DOID_14264,class,BenignNeonatalSeizures,benign neonatal seizures,benign convulsion familial neonatal seizure,True
5031,obo.DOID_14265,DOID_14265,class,PulmonaryValveInsufficiency,pulmonary valve insufficiency,follow incompetence insufficiency pulmonary regurgitation surgery trauma valve,True
5032,obo.DOID_5749,DOID_5749,class,PulmonaryValveDisease,pulmonary valve disease,disease pulmonary valve,True
5033,obo.DOID_9446,DOID_9446,class,Cholangitis,cholangitis,cholangitis,True
5034,obo.DOID_14269,DOID_14269,class,SuppurativeCholangitis,suppurative cholangitis,cholangitis suppurative,True
5035,obo.DOID_14270,DOID_14270,class,AscendingCholangitis,ascending cholangitis,ascend cholangitis,True
5036,obo.DOID_14271,DOID_14271,class,AcuteCholangitis,acute cholangitis,acute cholangitis,True
5037,obo.DOID_14272,DOID_14272,class,Pericholangitis,pericholangitis,pericholangitis,True
5038,obo.DOID_14275,DOID_14275,class,AtrophicVulva,atrophic vulva,atrophic vulva,True
5039,obo.DOID_14276,DOID_14276,class,ShoulderImpingementSyndrome,shoulder impingement syndrome,impingement shoulder syndrome,True
5040,obo.DOID_14283,DOID_14283,class,PrimaryHypertrophicOsteoarthropathy,primary hypertrophic osteoarthropathy,hypertrophic osteoarthropathy primary,True
5041,obo.DOID_14284,DOID_14284,class,PatellofemoralPainSyndrome,patellofemoral pain syndrome,pain patellofemoral syndrome,True
5042,obo.DOID_14286,DOID_14286,class,NeurogenicArthropathy,neurogenic arthropathy,arthropathy neurogenic,True
5043,obo.DOID_14287,DOID_14287,class,BrawnyScleritis,brawny scleritis,brawny scleritis,True
5044,obo.DOID_14289,DOID_14289,class,EbsteinAnomaly,ebstein anomaly,anomaly ebstein,True
5045,obo.DOID_14291,DOID_14291,class,LeopardSyndrome,leopard syndrome,capute-rimoin-konigsmark-esterly-richardson cardiocutaneous cardiomyopathic gorlin ii lentiginosis leopard moynahan profusa progressive syndrome,True
5046,obo.DOID_14292,DOID_14292,class,VulvarDystrophy,vulvar dystrophy,dystrophy vulvar,True
5047,obo.DOID_14305,DOID_14305,class,TuberculousEmpyema,tuberculous empyema,empyema tuberculous,True
5048,obo.DOID_3798,DOID_3798,class,PleuralEmpyema,pleural empyema,empyema fistula pleural pleuritis purulent pyothorax,True
5049,obo.DOID_14308,DOID_14308,class,SkinEpithelioidHemangioma,skin epithelioid hemangioma,epithelioid hemangioma skin,True
5050,obo.DOID_471,DOID_471,class,SkinHemangioma,skin hemangioma,hemangioma skin,True
5051,obo.DOID_474,DOID_474,class,HistiocytoidHemangioma,histiocytoid hemangioma,hemangioma histiocytoid,True
5052,obo.DOID_14319,DOID_14319,class,Pleuropneumonia,pleuropneumonia,pleuropneumonia,True
5053,obo.DOID_14320,DOID_14320,class,GeneralizedAnxietyDisorder,generalized anxiety disorder,anxiety disorder generalize,True
5054,obo.DOID_14323,DOID_14323,class,MarfanSyndrome,marfan syndrome,marfan syndrome,True
5055,obo.DOID_14324,DOID_14324,class,PlasmodiumMalariaeMalaria,plasmodium malariae malaria,malaria malariae plasmodium,True
5056,obo.DOID_14325,DOID_14325,class,MixedMalaria,mixed malaria,malaria mixed one parasite,True
5057,obo.DOID_14332,DOID_14332,class,PostencephaliticParkinsonDisease,postencephalitic parkinson disease,disease parkinson postencephalitic,True
5058,obo.DOID_14336,DOID_14336,class,EstrogenExcess,estrogen excess,estrogen excess,True
5059,obo.DOID_14350,DOID_14350,class,SuppurativeThyroiditis,suppurative thyroiditis,suppurative thyroiditis,True
5060,obo.DOID_7166,DOID_7166,class,Thyroiditis,thyroiditis,thyroiditis,True
5061,obo.DOID_14351,DOID_14351,class,"""riedelsFibrosingThyroiditis""","""riedels fibrosing thyroiditis""",fibrosing riedel thyroiditis,True
5062,obo.DOID_14353,DOID_14353,class,AcuteThyroiditis,acute thyroiditis,acute thyroiditis,True
5063,obo.DOID_1436,DOID_1436,class,CornealEctasia,corneal ectasia,corneal ectasia,True
5064,obo.DOID_14365,DOID_14365,class,SystemicPrimaryCarnitineDeficiencyDisease,systemic primary carnitine deficiency disease,carnitine defect deficiency disease plasma-membrane primary systemic transporter uptake,True
5065,obo.DOID_14374,DOID_14374,class,NorwegianScabies,norwegian scabies,norwegian scabies,True
5066,obo.DOID_8295,DOID_8295,class,Scabies,scabies,scabies,True
5067,obo.DOID_1439,DOID_1439,class,Pyuria,pyuria,pyuria,True
5068,obo.DOID_14392,DOID_14392,class,ThrombophlebitisMigrans,thrombophlebitis migrans,migrans thrombophlebitis,True
5069,obo.DOID_14397,DOID_14397,class,ProtozoalDysentery,protozoal dysentery,dysentery protozoal,True
5070,obo.DOID_1440,DOID_1440,class,Machado-josephDisease,machado-joseph disease,ataxia disease machado-joseph mjd spinocerebellar type,True
5071,obo.DOID_14400,DOID_14400,class,CapillaryLeakSyndrome,capillary leak syndrome,capillary leak syndrome,True
5072,obo.DOID_14402,DOID_14402,class,CriticalIllnessPolyneuropathy,critical illness polyneuropathy,critical illness polyneuropathy,True
5073,obo.DOID_14413,DOID_14413,class,LabyrinthineBilateralReactiveLoss,labyrinthine bilateral reactive loss,bilateral labyrinthine loss reactive,True
5074,obo.DOID_14415,DOID_14415,class,Legg-calve-perthesDisease,legg-calve-perthes disease,disease hip juvenile legg-calve-perthes osteochondrosis pelvis,True
5075,obo.DOID_14418,DOID_14418,class,Dracunculiasis,dracunculiasis,dracunculiasis,True
5076,obo.DOID_14422,DOID_14422,class,Dipetalonemiasis,dipetalonemiasis,dipetalonema dipetalonemiasis disease infectious,True
5077,obo.DOID_14423,DOID_14423,class,GlossopharyngealNeuralgia,glossopharyngeal neuralgia,glossopharyngeal neuralgia,True
5078,obo.DOID_14427,DOID_14427,class,AbnormalityOfGlucagonSecretion,abnormality of glucagon secretion,abnormality glucagon secretion,True
5079,obo.DOID_14435,DOID_14435,class,ChronicTubotympanicSuppurativeOtitisMedia,chronic tubotympanic suppurative otitis media,chronic medium otitis suppurative tubotympanic,True
5080,obo.DOID_14443,DOID_14443,class,CholinergicUrticaria,cholinergic urticaria,cholinergic urticaria,True
5081,obo.DOID_14444,DOID_14444,class,SclerosingKeratitis,sclerosing keratitis,keratitis sclerosing,True
5082,obo.DOID_14445,DOID_14445,class,ChronicClosed-angleGlaucoma,chronic closed-angle glaucoma,chronic closed-angle glaucoma,True
5083,obo.DOID_14447,DOID_14447,class,GonadalDysgenesis,gonadal dysgenesis,dysgenesis gonadal,True
5084,obo.DOID_14448,DOID_14448,class,46XyGonadalDysgenesis,46 xy gonadal dysgenesis,dysgenesis gonadal reversal sex swyer syndrome xy,True
5085,obo.DOID_14449,DOID_14449,class,MixedGonadalDysgenesis,mixed gonadal dysgenesis,dysgenesis gonadal mixed,True
5086,obo.DOID_3491,DOID_3491,class,TurnerSyndrome,turner syndrome,syndrome turner,True
5087,obo.DOID_14450,DOID_14450,class,46XxGonadalDysgenesis,46 xx gonadal dysgenesis,dysgenesis gonadal xx,True
5088,obo.DOID_14451,DOID_14451,class,HyperkalemicPeriodicParalysis,hyperkalemic periodic paralysis,hyperkalemic paralysis periodic,True
5089,obo.DOID_14452,DOID_14452,class,HypokalemicPeriodicParalysis,hypokalemic periodic paralysis,hypokalemic paralysis periodic,True
5090,obo.DOID_14453,DOID_14453,class,"""farmersLung""","""farmers lung""",farmer lung,True
5091,obo.DOID_14456,DOID_14456,class,BrucellaMelitensisBrucellosis,brucella melitensis brucellosis,brucella brucellosis melitensis,True
5092,obo.DOID_14457,DOID_14457,class,BrucellaAbortusBrucellosis,brucella abortus brucellosis,abortus brucella brucellosis,True
5093,obo.DOID_14459,DOID_14459,class,HemangiomaOfOrbit,hemangioma of orbit,hemangioma orbit,True
5094,obo.DOID_14463,DOID_14463,class,CavernousHemangiomaOfOrbit,cavernous hemangioma of orbit,cavernous hemangioma orbit,True
5095,obo.DOID_483,DOID_483,class,CavernousHemangioma,cavernous hemangioma,cavernous hemangioma,True
5096,obo.DOID_14464,DOID_14464,class,NeurolepticMalignantSyndrome,neuroleptic malignant syndrome,malignant neuroleptic syndrome,True
5097,obo.DOID_14472,DOID_14472,class,HantavirusPulmonarySyndrome,hantavirus pulmonary syndrome,hantavirus pulmonary syndrome,True
5098,obo.DOID_14482,DOID_14482,class,HerpesGestationis,herpes gestationis,gestationis herpes,True
5099,obo.DOID_2731,DOID_2731,class,VesiculobullousSkinDisease,vesiculobullous skin disease,disease skin vesiculobullous,True
5100,obo.DOID_14483,DOID_14483,class,ChoreaGravidarum,chorea gravidarum,chorea gravidarum,True
5101,obo.DOID_14484,DOID_14484,class,Sporotrichosis,sporotrichosis,sporotrichosis,True
5102,obo.DOID_14489,DOID_14489,class,UreteralLymphoma,ureteral lymphoma,lymphoma ureter ureteral,True
5103,obo.DOID_14491,DOID_14491,class,RegionalUretericCancer,regional ureteric cancer,cancer regional ureteric,True
5104,obo.DOID_4939,DOID_4939,class,UreterCarcinoma,ureter carcinoma,carcinoma ureter,True
5105,obo.DOID_14495,DOID_14495,class,DumpingSyndrome,dumping syndrome,dump syndrome,True
5106,obo.DOID_8439,DOID_8439,class,PostgastrectomySyndrome,postgastrectomy syndrome,postgastrectomy syndrome,True
5107,obo.DOID_14497,DOID_14497,class,WolmanDisease,wolman disease,disease wolman,True
5108,obo.DOID_14498,DOID_14498,class,LipoidProteinosis,lipoid proteinosis,disease lipoid proteinosis urbach-wiethe,True
5109,obo.DOID_14499,DOID_14499,class,FabryDisease,fabry disease,disease fabry,True
5110,obo.DOID_14500,DOID_14500,class,Fucosidosis,fucosidosis,fucosidosis,True
5111,obo.DOID_14501,DOID_14501,class,Sjogren-larssonSyndrome,sjogren-larsson syndrome,sjogren-larsson syndrome,True
5112,obo.DOID_14502,DOID_14502,class,CholesterolEsterStorageDisease,cholesterol ester storage disease,cholesterol disease ester storage,True
5113,obo.DOID_14504,DOID_14504,class,Niemann-pickDisease,niemann-pick disease,block cholesterol deficiency disease esterification form juvenile lipidosis niemann-pick sphingomyelin sphingomyelinase subacute type,True
5114,obo.DOID_4330,DOID_4330,class,Non-langerhans-cellHistiocytosis,non-langerhans-cell histiocytosis,histiocytosis non-langerhans-cell,True
5115,obo.DOID_14507,DOID_14507,class,PeripheralDegenerationOfCornea,peripheral degeneration of cornea,cornea degeneration peripheral,True
5116,obo.DOID_14512,DOID_14512,class,CandidalParonychia,candidal paronychia,candidal candidiasis nail paronychia skin,True
5117,obo.DOID_14515,DOID_14515,class,WagrSyndrome,wagr syndrome,11p13 chromosome deletion syndrome wagr,True
5118,obo.DOID_14522,DOID_14522,class,PartialArterialRetinalOcclusion,partial arterial retinal occlusion,arterial occlusion partial retinal,True
5119,obo.DOID_14523,DOID_14523,class,ArgyllRobertsonPupil,argyll robertson pupil,argyll nonsyphilitic phenomenon pupil robertson,True
5120,obo.DOID_14524,DOID_14524,class,SenileDegenerationOfBrain,senile degeneration of brain,brain degeneration senile,True
5121,obo.DOID_14525,DOID_14525,class,ReyeSyndrome,reye syndrome,reye syndrome,True
5122,obo.DOID_14529,DOID_14529,class,ExternalPathologicalResorption,external pathological resorption,external pathological resorption,True
5123,obo.DOID_1453,DOID_1453,class,AtrophicGlossitis,atrophic glossitis,atrophic glossitis smooth tongue,True
5124,obo.DOID_14534,DOID_14534,class,MalignantCardiacPeripheralNerveSheathNeoplasm,malignant cardiac peripheral nerve sheath neoplasm,cardiac malignant neoplasm nerve peripheral sheath,True
5125,obo.DOID_5940,DOID_5940,class,MalignantPeripheralNerveSheathTumor,malignant peripheral nerve sheath tumor,malignant nerve peripheral sheath tumor,True
5126,obo.DOID_14535,DOID_14535,class,MalignantCardiacGermCellTumor,malignant cardiac germ cell tumor,cardiac cell germ malignant tumor,True
5127,obo.DOID_14544,DOID_14544,class,ReteTestisAdenocarcinoma,rete testis adenocarcinoma,adenocarcinoma rete testis,True
5128,obo.DOID_5639,DOID_5639,class,ReteTestisNeoplasm,rete testis neoplasm,neoplasm rete testis,True
5129,obo.DOID_14545,DOID_14545,class,SeminalVesicleAdenocarcinoma,seminal vesicle adenocarcinoma,adenocarcinoma seminal vesicle,True
5130,obo.DOID_14546,DOID_14546,class,SphenoidalSinusCancer,sphenoidal sinus cancer,cancer sinus sphenoidal,True
5131,obo.DOID_14547,DOID_14547,class,SphenoidSinusSquamousCellCarcinoma,sphenoid sinus squamous cell carcinoma,carcinoma cell sinus sphenoid squamous,True
5132,obo.DOID_14548,DOID_14548,class,Steroid-inducedGlaucoma-Borderline,steroid-induced glaucoma- borderline,borderline glaucoma steroid-induced,True
5133,obo.DOID_1455,DOID_1455,class,GeographicTongue,geographic tongue,benign geographic glossitis migratory tongue,True
5134,obo.DOID_14550,DOID_14550,class,RootResorption,root resorption,resorption root,True
5135,obo.DOID_14555,DOID_14555,class,Foster-kennedySyndrome,foster-kennedy syndrome,foster-kennedy syndrome,True
5136,obo.DOID_146,DOID_146,class,Papilledema,papilledema,papilledema,True
5137,obo.DOID_14557,DOID_14557,class,PrimaryPulmonaryHypertension,primary pulmonary hypertension,hypertension primary pulmonary,True
5138,obo.DOID_14559,DOID_14559,class,AnaerobicMeningitis,anaerobic meningitis,anaerobic meningitis,True
5139,obo.DOID_1458,DOID_1458,class,PostsurgicalHypothyroidism,postsurgical hypothyroidism,hypothyroidism postsurgical,True
5140,obo.DOID_1460,DOID_1460,class,AtheroembolismOfKidney,atheroembolism of kidney,atheroembolism kidney,True
5141,obo.DOID_14669,DOID_14669,class,Acrodysostosis,acrodysostosis,acrodysostosis,True
5142,obo.DOID_1467,DOID_1467,class,SerousLabyrinthitis,serous labyrinthitis,acute labyrinthitis serous,True
5143,obo.DOID_14670,DOID_14670,class,"Hypertelorism,Microtia,FacialCleftingSyndrome","hypertelorism, microtia, facial clefting syndrome",bixler bixler-christian-gorlin christian clefting facial gorlin hmc hypertelorism hypertelorism-microtia-clefting hypertelorism-microtia-facial microtia syndrome,True
5144,obo.DOID_14671,DOID_14671,class,MultipleIntestinalAtresia,multiple intestinal atresia,atresia intestinal multiple,True
5145,obo.DOID_14679,DOID_14679,class,VacterlAssociation,vacterl association,association vacterl,True
5146,obo.DOID_3930,DOID_3930,class,OtitisInterna,otitis interna,ear infection inner interna otitis,True
5147,obo.DOID_14681,DOID_14681,class,Silver-russellSyndrome,silver-russell syndrome,dwarfism russell silver silver-russell syndrome,True
5148,obo.DOID_14683,DOID_14683,class,BinderSyndrome,binder syndrome,binder dysplasia maxillonasal syndrome type,True
5149,obo.DOID_14687,DOID_14687,class,DiastrophicDysplasia,diastrophic dysplasia,diastrophic dysplasia,True
5150,obo.DOID_14692,DOID_14692,class,Smith-lemli-opitzSyndrome,smith-lemli-opitz syndrome,anomaly congenital lethal multiple rutledge smith-lemli-opitz syndrome,True
5151,obo.DOID_14693,DOID_14693,class,CloustonSyndrome,clouston syndrome,clouston dysplasia ectodermal hidrotic syndrome,True
5152,obo.DOID_14694,DOID_14694,class,Johanson-blizzardSyndrome,johanson-blizzard syndrome,johanson-blizzard syndrome,True
5153,obo.DOID_14695,DOID_14695,class,GalactokinaseDeficiency,galactokinase deficiency,deficiency galactokinase,True
5154,obo.DOID_9870,DOID_9870,class,Galactosemia,galactosemia,galactosemia,True
5155,obo.DOID_14699,DOID_14699,class,Thrombocytopenia-absentRadiusSyndrome,thrombocytopenia-absent radius syndrome,1q21.1 chromosome deletion radius syndrome thrombocytopenia-absent,True
5156,obo.DOID_1470,DOID_1470,class,MajorDepressiveDisorder,major depressive disorder,depression depressive disorder episode major recurrent single,True
5157,obo.DOID_14701,DOID_14701,class,PropionicAcidemia,propionic acidemia,acidemia aciduria carboxylase deficiency glycinemia hyperglycinemia ii ketotic propionic propionyl-coa,True
5158,obo.DOID_14702,DOID_14702,class,BranchiootorenalSyndrome,branchiootorenal syndrome,branchiootorenal dysplasia syndrome,True
5159,obo.DOID_14705,DOID_14705,class,PfeifferSyndrome,pfeiffer syndrome,acrocephalosyndactylia pfeiffer syndrome type,True
5160,obo.DOID_14711,DOID_14711,class,FgSyndrome,fg syndrome,fg keller opitz-kaveggia syndrome,True
5161,obo.DOID_14717,DOID_14717,class,CentronuclearMyopathy,centronuclear myopathy,centronuclear myopathy,True
5162,obo.DOID_14720,DOID_14720,class,TypeIEhlers-danlosSyndrome,type i ehlers-danlos syndrome,ehlers-danlos syndrome type,True
5163,obo.DOID_14723,DOID_14723,class,Beta-ketothiolaseDeficiency,beta-ketothiolase deficiency,2-methyl-3-hydroxybutyricacidemia 3-ketothiolase 3-oxothiolase acetoacetyl-coa alpha-methylacetoaceticaciduria beta-ketothiolase deficiency mitochondrial thiolase,True
5164,obo.DOID_14725,DOID_14725,class,AutosomalDominantMicrocephaly,autosomal dominant microcephaly,autosomal dominant microcephaly,True
5165,obo.DOID_14731,DOID_14731,class,WeaverSyndrome,weaver syndrome,syndrome weaver weaver-like weaver-williams,True
5166,obo.DOID_14735,DOID_14735,class,HereditaryAngioedema,hereditary angioedema,angioedema hereditary,True
5167,obo.DOID_1558,DOID_1558,class,Angioedema,angioedema,angioedema angioneurotic edema,True
5168,obo.DOID_14737,DOID_14737,class,CraniofrontonasalSyndrome,craniofrontonasal syndrome,craniofrontonasal dysplasia syndrome,True
5169,obo.DOID_1474,DOID_1474,class,AggressivePeriodontitis,aggressive periodontitis,aggressive periodontitis,True
5170,obo.DOID_14743,DOID_14743,class,TrichorhinophalangealSyndromeTypeI,trichorhinophalangeal syndrome type i,iii sugio-kajii syndrome trichorhinophalangeal type,True
5171,obo.DOID_14744,DOID_14744,class,PartingtonSyndrome,partington syndrome,partington russell-silver syndrome x-linked,True
